coin,day_price,day_image,week_price,week_image,month_price,month_image
Bitcoin,43716.0,images/Bitcoin/day.png,40892.0,images/Bitcoin/week.png,35506.0,images/Bitcoin/month.png
Ethereum,22318.0,images/Ethereum/day.png,2213.0,images/Ethereum/week.png,2046.69,images/Ethereum/month.png
